8,25.24
16,31.50
32,23.72
64,26.19
128,66.66
8,39.35
16,26.81
32,45.38
64,40.03
128,74.50
8,26.68
16,12.04
32,22.00
64,57.07
128,71.88
8,12.21
16,12.21
32,51.76
64,48.59
128,70.74
8,20.53
16,48.22
32,41.05
64,52.46
128,67.55
8,12.00
16,12.14
32,59.45
64,76.41
128,64.38
8,22.16
16,26.64
32,57.28
64,41.28
128,72.92
8,21.23
16,31.84
32,42.50
64,39.64
128,57.65
8,38.89
16,22.42
32,50.97
64,62.18
128,63.79
8,39.13
16,22.13
32,25.48
64,40.47
128,62.55
8,39.06
16,51.97
32,54.64
64,62.72
128,78.37
8,39.01
16,22.16
32,30.39
64,45.15
128,72.10
8,26.83
16,27.31
32,58.99
64,69.32
128,59.60
8,27.76
16,54.12
32,49.90
64,42.79
128,69.23
8,43.58
16,54.17
32,63.27
64,66.11
128,63.91
8,21.97
16,22.13
32,25.65
64,63.30
128,70.84
8,33.65
16,41.81
32,46.30
64,25.39
128,52.97
8,53.17
16,46.53
32,30.03
64,67.86
128,67.33
8,39.13
16,21.99
32,17.48
64,65.94
128,65.45
8,22.02
16,24.06
32,39.56
64,69.49
128,59.90
8,39.18
16,22.18
32,68.09
64,59.31
128,65.69
8,26.85
16,50.43
32,26.50
64,43.35
128,63.86
8,22.16
16,48.46
32,43.62
64,40.45
128,67.15
8,26.85
16,21.58
32,59.02
64,60.84
128,50.84
8,26.80
16,22.23
32,44.25
64,72.88
128,63.94
8,26.85
16,21.99
32,40.47
64,61.23
128,70.22
8,22.12
16,22.11
32,53.58
64,61.74
128,71.73
8,22.12
16,38.37
32,39.22
64,58.99
128,62.23
8,39.18
16,39.14
32,26.84
64,64.25
128,72.08
8,27.45
16,51.28
32,25.19
64,59.67
128,77.35
8,8.63
16,36.32
32,51.81
64,58.07
128,74.28
8,12.09
16,50.77
32,22.20
64,67.37
128,72.50
8,8.17
16,39.16
32,22.44
64,47.12
128,66.39
8,26.73
16,22.18
32,59.19
64,60.79
128,59.88
8,26.61
16,35.98
32,22.53
64,45.83
128,63.32
8,26.63
16,26.93
32,45.48
64,57.63
128,73.84
8,22.62
16,22.25
32,42.31
64,56.29
128,75.84
8,31.03
16,24.42
32,48.94
64,50.68
128,61.71
8,12.16
16,39.52
32,38.20
64,27.07
128,71.31
8,34.66
16,22.09
32,39.97
64,72.54
128,56.46
8,39.21
16,49.23
32,42.36
64,72.25
128,67.35
8,24.01
16,41.38
32,66.73
64,58.75
128,70.20
8,38.82
16,55.56
32,39.14
64,58.48
128,69.31
8,29.18
16,50.82
32,44.29
64,52.29
128,61.36
8,22.33
16,41.71
32,50.27
64,59.50
128,66.36
8,39.04
16,27.91
32,52.42
64,59.50
128,61.29
8,26.83
16,22.06
32,38.81
64,67.69
128,72.92
8,26.88
16,48.10
32,39.17
64,65.77
128,57.52
8,12.31
16,59.73
32,51.57
64,61.43
128,63.14
8,40.91
16,21.99
32,11.97
64,59.82
128,69.43
8,26.78
16,29.31
32,53.46
64,42.15
128,73.74
8,26.73
16,16.33
32,19.80
64,72.44
128,78.66
8,26.95
16,22.11
32,35.93
64,67.25
128,70.45
8,39.06
16,43.74
32,37.06
64,52.85
128,67.35
8,25.65
16,37.04
32,38.39
64,40.77
128,47.72
8,23.92
16,39.04
32,59.24
64,39.11
128,72.08
8,39.21
16,21.19
32,31.79
64,57.60
128,60.22
8,22.24
16,38.99
32,20.31
64,61.50
128,71.21
8,35.60
16,52.31
32,44.54
64,52.63
128,63.49
8,11.95
16,22.09
32,39.07
64,73.12
128,55.99
8,33.94
16,22.09
32,47.68
64,64.57
128,74.78
8,23.63
16,35.28
32,39.05
64,38.82
128,71.34
8,27.38
16,11.97
32,26.84
64,65.40
128,66.81
8,12.26
16,20.69
32,42.24
64,62.74
128,65.77
8,39.06
16,26.88
32,22.10
64,60.67
128,75.94
8,16.63
16,34.39
32,39.77
64,62.82
128,78.64
8,26.71
16,12.07
32,67.82
64,54.46
128,79.21
8,22.02
16,39.21
32,64.89
64,58.48
128,64.03
8,27.04
16,28.37
32,63.06
64,62.55
128,73.24
8,39.16
16,12.21
32,21.76
64,41.08
128,75.54
8,14.35
16,39.14
32,42.79
64,51.95
128,53.91
8,39.21
16,18.67
32,39.70
64,59.14
128,61.96
8,22.02
16,49.88
32,25.15
64,40.45
128,68.27
8,32.21
16,22.21
32,56.41
64,50.22
128,72.23
8,40.31
16,36.42
32,62.67
64,38.77
128,74.01
8,22.16
16,51.52
32,50.24
64,46.73
128,59.95
8,51.32
16,43.11
32,18.69
64,40.98
128,72.75
8,28.75
16,12.14
32,58.97
64,42.52
128,73.94
8,19.35
16,19.12
32,39.70
64,55.92
128,63.42
8,37.72
16,27.82
32,53.22
64,46.78
128,77.15
8,24.69
16,22.04
32,38.01
64,60.48
128,56.24
8,12.04
16,26.71
32,52.03
64,60.50
128,55.69
8,33.22
16,19.53
32,39.82
64,62.60
128,72.77
8,36.73
16,26.04
32,25.63
64,40.81
128,70.97
8,40.24
16,20.54
32,26.84
64,64.77
128,77.10
8,47.86
16,29.67
32,42.36
64,72.37
128,65.10
8,39.04
16,26.06
32,57.01
64,39.86
128,65.67
8,28.22
16,37.84
32,69.80
64,61.84
128,78.32
8,12.12
16,36.58
32,40.38
64,74.34
128,72.23
8,26.68
16,26.81
32,48.94
64,55.29
128,74.21
8,19.06
16,26.73
32,36.41
64,69.42
128,66.36
8,39.06
16,35.91
32,39.46
64,69.13
128,73.14
8,24.21
16,38.05
32,42.17
64,70.81
128,72.35
8,22.04
16,39.40
32,41.32
64,40.45
128,58.64
8,12.12
16,26.76
32,39.29
64,55.90
128,74.98
8,24.86
16,51.47
32,49.06
64,46.32
128,74.98
8,38.63
16,26.73
32,12.40
64,42.84
128,46.16
8,11.88
16,26.08
32,61.56
64,63.60
128,67.45
8,41.08
16,41.45
32,45.43
64,52.68
128,72.13
8,12.04
16,31.43
32,44.39
64,70.32
128,72.57
