8,31.90
16,47.93
32,58.15
64,65.55
128,74.23
8,58.12
16,58.07
32,65.09
64,67.08
128,70.87
8,60.50
16,49.98
32,67.38
64,72.03
128,74.41
8,47.00
16,62.50
32,66.76
64,71.32
128,70.05
8,55.12
16,60.57
32,59.60
64,67.52
128,75.77
8,43.65
16,52.05
32,60.40
64,72.00
128,69.53
8,47.33
16,51.90
32,60.13
64,69.52
128,76.36
8,60.87
16,55.90
32,65.23
64,66.15
128,71.09
8,54.76
16,59.83
32,62.84
64,68.10
128,73.37
8,53.03
16,63.46
32,64.94
64,70.64
128,74.95
8,48.05
16,62.43
32,58.95
64,71.64
128,74.43
8,54.28
16,50.48
32,66.05
64,66.59
128,74.08
8,49.71
16,56.45
32,61.92
64,68.54
128,71.71
8,45.96
16,58.60
32,60.42
64,66.74
128,72.67
8,45.89
16,61.30
32,65.43
64,72.42
128,72.57
8,50.22
16,47.71
32,67.29
64,68.91
128,74.48
8,60.55
16,58.29
32,65.93
64,68.84
128,72.67
8,52.12
16,58.55
32,66.95
64,65.57
128,74.68
8,51.85
16,54.00
32,58.49
64,74.73
128,73.66
8,54.09
16,58.19
32,62.43
64,66.72
128,74.68
8,55.38
16,59.97
32,59.70
64,67.79
128,67.18
8,52.24
16,57.63
32,67.43
64,67.18
128,71.61
8,41.95
16,56.86
32,61.36
64,60.92
128,72.70
8,50.87
16,52.05
32,66.88
64,71.56
128,69.98
8,45.02
16,58.26
32,62.81
64,70.00
128,74.11
8,53.44
16,64.91
32,64.65
64,68.45
128,71.56
8,58.22
16,56.05
32,66.22
64,67.35
128,71.78
8,38.39
16,58.82
32,62.96
64,64.67
128,74.38
8,62.96
16,54.00
32,50.39
64,69.27
128,72.50
8,66.39
16,52.91
32,63.83
64,72.86
128,75.17
8,47.64
16,56.82
32,64.85
64,69.44
128,74.13
8,57.98
16,60.28
32,64.10
64,69.66
128,71.98
8,41.44
16,52.89
32,64.92
64,72.37
128,75.77
8,53.03
16,57.47
32,58.17
64,67.01
128,74.60
8,47.96
16,56.94
32,59.79
64,65.28
128,74.58
8,50.60
16,55.90
32,62.48
64,69.08
128,73.49
8,29.88
16,60.21
32,65.91
64,68.32
128,71.34
8,47.81
16,56.48
32,63.06
64,64.40
128,70.94
8,37.50
16,62.40
32,62.67
64,65.33
128,72.77
8,59.30
16,62.81
32,62.91
64,68.88
128,75.79
8,49.40
16,57.25
32,64.17
64,68.37
128,67.97
8,59.66
16,60.40
32,67.46
64,65.18
128,78.37
8,55.82
16,62.48
32,63.10
64,65.35
128,74.48
8,49.52
16,54.67
32,62.09
64,65.18
128,74.31
8,60.50
16,60.93
32,61.99
64,71.83
128,76.14
8,51.35
16,52.99
32,63.01
64,68.52
128,73.29
8,51.73
16,56.91
32,66.66
64,67.40
128,75.00
8,31.37
16,57.76
32,56.02
64,63.28
128,71.49
8,39.09
16,56.45
32,64.99
64,64.06
128,72.50
8,39.71
16,57.80
32,63.18
64,68.54
128,72.25
8,58.56
16,63.51
32,62.60
64,65.28
128,75.05
8,52.09
16,61.05
32,67.24
64,68.54
128,75.35
8,47.81
16,59.06
32,62.65
64,69.54
128,67.57
8,48.94
16,54.94
32,60.28
64,69.74
128,73.17
8,44.59
16,53.83
32,61.51
64,66.74
128,68.54
8,59.04
16,55.27
32,61.75
64,68.25
128,74.21
8,57.21
16,58.24
32,61.73
64,69.30
128,67.30
8,43.89
16,46.44
32,62.72
64,70.91
128,75.79
8,45.75
16,61.80
32,64.68
64,70.78
128,67.97
8,58.53
16,60.16
32,62.16
64,68.18
128,69.46
8,50.22
16,54.05
32,62.14
64,66.81
128,75.27
8,45.10
16,61.99
32,65.74
64,66.89
128,73.89
8,55.24
16,54.87
32,61.99
64,68.64
128,72.10
8,41.54
16,44.10
32,59.89
64,63.35
128,74.48
8,48.08
16,51.78
32,64.10
64,68.42
128,69.33
8,54.62
16,54.21
32,66.08
64,65.89
128,71.39
8,59.06
16,46.70
32,67.94
64,70.20
128,72.35
8,35.31
16,61.42
32,59.96
64,72.56
128,68.96
8,48.65
16,50.60
32,65.47
64,67.96
128,73.91
8,48.25
16,55.66
32,68.50
64,64.57
128,72.50
8,53.58
16,52.99
32,62.45
64,69.57
128,73.39
8,40.72
16,62.62
32,67.09
64,72.10
128,76.93
8,60.72
16,58.53
32,64.14
64,65.67
128,71.71
8,50.26
16,55.80
32,62.50
64,71.59
128,73.59
8,51.49
16,48.36
32,62.23
64,71.69
128,69.98
8,43.63
16,50.53
32,60.06
64,66.52
128,75.47
8,39.62
16,57.39
32,60.44
64,62.26
128,73.00
8,53.80
16,49.93
32,66.68
64,69.54
128,69.88
8,45.38
16,58.67
32,67.92
64,65.77
128,73.12
8,56.37
16,51.42
32,67.07
64,66.47
128,75.35
8,48.00
16,63.37
32,55.39
64,63.86
128,74.75
8,50.10
16,52.99
32,64.56
64,70.69
128,72.80
8,45.55
16,49.04
32,61.65
64,54.56
128,72.52
8,53.41
16,56.86
32,61.80
64,62.16
128,76.81
8,50.89
16,53.32
32,65.09
64,67.25
128,73.34
8,57.43
16,55.13
32,62.52
64,60.67
128,67.67
8,55.50
16,57.80
32,60.01
64,67.30
128,74.38
8,47.09
16,57.39
32,67.55
64,65.23
128,75.12
8,55.34
16,58.84
32,64.26
64,68.35
128,72.23
8,49.76
16,46.75
32,65.57
64,69.40
128,67.18
8,54.04
16,49.47
32,66.56
64,68.69
128,69.48
8,41.32
16,57.85
32,60.90
64,70.32
128,71.88
8,55.55
16,53.71
32,60.64
64,67.23
128,70.05
8,50.82
16,62.81
32,56.60
64,72.08
128,72.10
8,46.88
16,50.70
32,65.69
64,70.93
128,71.06
8,53.25
16,57.32
32,62.60
64,68.81
128,73.89
8,55.41
16,58.62
32,58.70
64,68.88
128,69.75
8,40.72
16,50.87
32,63.68
64,67.81
128,73.27
8,49.01
16,61.87
32,62.23
64,68.40
128,74.01
8,39.16
16,62.36
32,63.49
64,68.10
128,72.35
