10,46.88
20,56.43
30,61.03
40,61.73
50,62.22
10,52.35
20,50.98
30,58.25
40,67.65
50,64.77
10,59.39
20,50.49
30,59.66
40,61.45
50,60.83
10,50.05
20,54.20
30,55.43
40,61.66
50,63.18
10,52.39
20,53.44
30,62.17
40,61.37
50,62.28
10,53.04
20,53.93
30,62.08
40,62.09
50,62.71
10,49.31
20,55.73
30,60.20
40,60.50
50,62.83
10,46.53
20,59.52
30,52.27
40,63.72
50,62.08
10,50.51
20,45.81
30,59.02
40,63.27
50,63.08
10,52.71
20,54.40
30,62.17
40,59.72
50,63.71
10,46.10
20,61.06
30,55.97
40,66.03
50,64.82
10,40.90
20,58.84
30,57.00
40,60.99
50,63.47
10,49.05
20,52.90
30,59.63
40,60.62
50,62.95
10,53.86
20,60.03
30,53.79
40,59.02
50,59.99
10,45.19
20,55.39
30,58.64
40,59.55
50,66.09
10,45.49
20,60.72
30,60.22
40,64.38
50,61.73
10,47.71
20,50.35
30,56.97
40,61.37
50,62.52
10,50.24
20,58.27
30,65.28
40,59.09
50,67.36
10,54.77
20,58.74
30,61.87
40,58.74
50,60.54
10,50.73
20,56.89
30,56.29
40,62.12
50,64.99
10,51.63
20,53.60
30,55.07
40,61.14
50,56.21
10,42.32
20,49.24
30,57.38
40,65.96
50,65.11
10,46.30
20,56.76
30,57.27
40,62.21
50,63.45
10,50.65
20,50.82
30,60.67
40,61.47
50,65.28
10,48.13
20,56.89
30,57.57
40,58.75
50,61.89
10,46.49
20,53.08
30,61.01
40,62.38
50,59.02
10,39.05
20,50.76
30,57.08
40,60.85
50,61.70
10,47.63
20,57.14
30,57.12
40,58.57
50,63.28
10,51.85
20,53.90
30,56.97
40,60.40
50,65.40
10,44.47
20,60.43
30,59.75
40,64.04
50,59.67
10,46.27
20,58.76
30,58.40
40,60.77
50,63.33
10,45.57
20,58.53
30,61.02
40,61.78
50,63.59
10,43.48
20,53.26
30,57.16
40,59.85
50,64.19
10,57.12
20,52.58
30,57.65
40,63.09
50,66.35
10,48.48
20,58.04
30,55.25
40,60.35
50,58.45
10,48.59
20,54.91
30,67.44
40,53.07
50,65.28
10,42.86
20,56.03
30,60.54
40,62.77
50,63.16
10,52.29
20,58.45
30,61.74
40,64.66
50,63.99
10,52.13
20,55.20
30,62.63
40,64.67
50,64.62
10,47.58
20,58.92
30,57.83
40,62.19
50,63.80
10,49.19
20,57.67
30,62.14
40,63.23
50,63.61
10,56.52
20,54.70
30,58.43
40,60.37
50,65.03
10,54.53
20,54.72
30,59.01
40,58.16
50,60.44
10,52.16
20,58.68
30,60.06
40,62.74
50,61.49
10,57.25
20,60.00
30,62.96
40,59.86
50,63.16
10,56.86
20,55.95
30,58.33
40,62.31
50,63.48
10,52.31
20,59.19
30,58.99
40,59.71
50,66.25
10,54.18
20,55.08
30,57.91
40,62.69
50,65.96
10,45.43
20,48.82
30,56.84
40,63.67
50,61.37
10,40.95
20,47.25
30,62.91
40,63.57
50,65.25
10,49.08
20,55.59
30,54.46
40,64.87
50,59.06
10,41.36
20,58.08
30,62.22
40,63.89
50,64.17
10,46.27
20,51.32
30,63.95
40,60.16
50,65.71
10,50.25
20,60.54
30,57.16
40,58.68
50,66.56
10,53.73
20,61.16
30,59.10
40,63.83
50,61.33
10,50.87
20,55.10
30,60.21
40,56.31
50,61.70
10,51.93
20,51.59
30,57.32
40,61.84
50,64.30
10,41.22
20,57.48
30,60.68
40,57.89
50,59.72
10,48.98
20,60.01
30,61.75
40,63.73
50,60.74
10,47.23
20,55.60
30,58.30
40,62.90
50,66.46
10,43.94
20,50.15
30,59.30
40,59.01
50,65.00
10,56.31
20,56.58
30,61.92
40,58.59
50,61.99
10,46.47
20,53.65
30,55.59
40,60.56
50,61.97
10,47.88
20,49.84
30,65.87
40,62.32
50,58.69
10,58.23
20,49.87
30,66.27
40,61.64
50,64.24
10,49.90
20,57.88
30,59.96
40,67.09
50,63.47
10,49.30
20,57.64
30,62.95
40,62.86
50,64.07
10,53.81
20,61.12
30,62.09
40,63.60
50,62.61
10,48.48
20,55.10
30,58.11
40,65.73
50,60.84
10,42.69
20,55.94
30,60.34
40,57.30
50,66.48
10,53.43
20,53.89
30,58.11
40,59.74
50,67.77
10,47.54
20,60.87
30,64.78
40,59.41
50,62.44
10,44.98
20,46.96
30,58.94
40,59.83
50,62.12
10,51.69
20,58.81
30,60.10
40,62.02
50,67.21
10,51.65
20,55.52
30,58.64
40,63.29
50,62.28
10,41.75
20,61.92
30,54.54
40,60.78
50,68.60
10,49.33
20,55.23
30,60.86
