10,10.90
20,30.74
30,29.08
40,43.91
50,53.05
10,37.90
20,22.56
30,45.73
40,57.02
50,51.17
10,28.17
20,20.76
30,39.05
40,60.76
50,61.41
10,10.36
20,25.25
30,24.15
40,41.42
50,59.50
10,10.28
20,34.47
30,43.53
40,49.58
50,65.08
10,31.01
20,36.29
30,36.69
40,48.95
50,67.92
10,12.12
20,26.19
30,29.47
40,48.10
50,61.50
10,17.37
20,34.09
30,19.78
40,56.27
50,46.79
10,10.95
20,30.02
30,57.81
40,51.77
50,62.79
10,22.42
20,30.98
30,50.84
40,52.63
50,58.60
10,26.82
20,22.00
30,40.77
40,39.64
50,49.55
10,29.72
20,40.06
30,38.98
40,52.26
50,61.81
10,19.80
20,40.14
30,37.97
40,49.87
50,49.39
10,14.11
20,27.62
30,55.73
40,40.44
50,63.25
10,14.88
20,37.66
30,56.36
40,60.14
50,48.28
10,16.85
20,32.92
30,39.21
40,53.56
50,59.01
10,24.51
20,29.60
30,42.25
40,49.78
50,71.69
10,20.86
20,45.53
30,50.74
40,55.06
50,59.95
10,12.71
20,35.75
30,54.31
40,48.08
50,64.29
10,33.03
20,32.01
30,39.95
40,64.71
50,57.94
10,12.08
20,38.75
30,52.02
40,57.09
50,54.96
10,14.45
20,30.56
30,52.63
40,54.58
50,55.46
10,19.25
20,41.88
30,33.78
40,52.13
50,57.44
10,17.79
20,34.59
30,32.34
40,51.78
50,60.29
10,10.80
20,16.71
30,45.29
40,42.12
50,53.74
10,22.48
20,23.44
30,42.38
40,50.76
50,46.91
10,12.40
20,39.14
30,44.37
40,34.37
50,52.44
10,19.51
20,15.34
30,38.11
40,57.18
50,44.40
10,16.52
20,31.27
30,40.84
40,54.11
50,53.15
10,27.98
20,31.03
30,47.72
40,48.61
50,45.37
10,22.01
20,38.16
30,27.59
40,56.66
50,67.75
10,27.40
20,14.83
30,51.80
40,40.42
50,55.73
10,10.77
20,31.69
30,52.69
40,52.00
50,52.09
10,20.59
20,24.91
30,37.08
40,47.52
50,46.04
10,23.42
20,26.48
30,50.09
40,52.32
50,49.82
10,35.59
20,21.08
30,51.89
40,58.90
50,67.26
10,15.44
20,41.06
30,46.16
40,55.68
50,59.48
10,21.71
20,34.43
30,40.44
40,47.11
50,66.86
10,21.59
20,40.89
30,37.52
40,53.30
50,53.32
10,10.71
20,42.08
30,55.68
40,53.65
50,58.77
10,12.55
20,25.63
30,61.62
40,54.72
50,64.64
10,22.65
20,42.91
30,44.81
40,55.88
50,50.81
10,27.76
20,40.93
30,44.67
40,52.84
50,65.48
10,10.38
20,34.26
30,44.41
40,49.34
50,57.00
10,26.33
20,30.37
30,42.97
40,51.61
50,60.32
10,11.45
20,51.44
30,56.56
40,59.49
50,56.61
10,25.79
20,22.32
30,47.20
40,58.74
50,64.90
10,11.84
20,32.39
30,50.02
40,47.18
50,49.15
10,11.26
20,33.14
30,29.37
40,54.38
50,61.15
10,28.71
20,25.06
30,49.36
40,51.14
50,59.34
10,26.03
20,31.82
30,43.83
40,61.28
50,57.37
10,11.20
20,35.25
30,46.84
40,47.93
50,63.13
10,13.52
20,36.16
30,33.08
40,54.12
50,60.10
10,20.74
20,22.51
30,36.64
40,54.29
50,66.29
10,14.51
20,29.73
30,40.42
40,55.91
50,53.47
10,20.56
20,39.44
30,47.69
40,58.44
50,59.19
10,10.48
20,27.34
30,35.46
40,42.48
50,50.89
10,21.70
20,28.60
30,47.24
40,52.95
50,55.65
10,21.37
20,28.33
30,50.51
40,50.73
50,47.73
10,15.21
20,35.53
30,36.46
40,53.44
50,62.55
10,24.69
20,39.47
30,44.75
40,58.23
50,66.40
10,12.01
20,29.45
30,41.08
40,55.85
50,42.12
10,12.30
20,27.32
30,52.09
40,57.72
50,54.90
10,21.63
20,39.46
30,36.97
40,55.68
50,55.31
10,24.57
20,35.88
30,50.81
40,59.74
50,62.27
10,11.12
20,47.98
30,52.23
40,48.01
50,58.42
10,34.00
20,51.16
30,55.76
40,50.22
50,51.29
10,10.48
20,36.88
30,39.10
40,68.87
50,48.03
10,11.92
20,25.57
30,43.76
40,47.88
50,47.37
10,10.10
20,16.95
30,47.74
40,47.46
50,68.95
10,26.69
20,51.73
30,48.86
40,57.19
50,70.08
10,29.73
20,22.55
30,37.83
40,44.16
50,56.35
10,20.20
20,31.05
30,48.58
40,51.41
50,56.07
10,12.38
20,27.62
30,42.66
40,55.50
50,71.07
10,16.15
20,32.70
30,42.31
40,58.65
50,52.82
10,30.53
20,40.75
30,43.28
40,57.69
50,64.25
10,11.64
20,26.90
30,48.38
40,54.30
50,62.95
10,10.45
20,28.34
30,43.22
40,58.64
50,55.93
10,16.47
20,41.30
30,54.98
40,54.04
50,61.62
10,12.60
20,25.66
30,51.86
40,51.80
50,62.07
10,12.56
20,26.97
30,36.51
40,50.67
50,57.59
10,25.95
20,22.77
30,47.46
40,58.47
50,65.58
10,11.68
20,42.59
30,46.73
40,45.45
50,73.53
10,10.94
20,19.34
30,55.30
40,47.30
50,61.24
10,34.77
20,37.09
30,33.69
40,37.59
50,64.54
10,10.67
20,28.98
30,49.44
40,53.01
50,57.64
10,12.18
